Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
Mark Lewis,1,8103070.637597842,8103070.637597842,5616620.566329023
Zelda Barron,1,17921461.525359258,17921461.525359258,12422210.527816307
Bob Buchholz,1,29449556.23740999,29449556.23740999,20412876.874702286
F. Javier Gutiérrez,1,103275592.95357375,103275592.95357375,71585186.0764262
John Whitesell,5,462742640.1964474,92548528.03928947,165824701.47751507
Meiert Avis,2,1718472.3577642087,859236.1788821043,943967.4249881101
Gregory Hoblit,6,631776437.4799714,105296072.91332857,204896696.93771434
José Padilha,1,312364038.4792765,312364038.4792765,216514252.58022875
Dominic Sena,5,827475076.0051143,165495015.20102286,296527260.59647363
Michael Tollin,1,34018656.94971203,34018656.94971203,23579936.15112888
Roman Polanski,9,648135163.0709529,72015018.11899477,165820707.19249347
Jonathan Darby,1,25432903.922748465,25432903.922748465,17628745.64750507
James Bobin,4,860556085.3823103,215139021.34557757,346252897.3975417
Tyler Sansom,1,233110.0,233110.0,161579.53926032883
Marc Lawrence,3,672651350.1516147,224217116.7172049,310830924.5716215
Barry Levinson,18,2017295363.8148265,112071964.65637925,329989061.2060067
Dennis Hopper,2,123350518.10656895,61675259.05328447,67757197.50272742
Terrence Malick,6,360848407.97052187,60141401.32842031,117029763.22338179
Robert Rodriguez,13,1788604893.7080812,137584991.82369855,363094681.11738706
Michael Mann,12,1851004731.8913054,154250394.32427546,395644449.810239
Darren Stein,1,5700972.591056422,5700972.591056422,3951613.077940285
Jean-Pierre Dardenne,4,30232361.148962043,7558090.287240511,12164277.053884817
Steve Oedekerk,4,714327946.5818597,178581986.64546493,287416619.7850115
Fernando Meirelles,3,208714656.26913136,69571552.08971046,96446650.35632434
Jesse Dylan,3,526690218.4131017,175563406.13770056,243382559.94769546
Chris Kentis,1,22388458.943953693,22388458.943953693,15518497.194083592
Chris Noonan,2,561124307.5979515,280562153.79897577,308229029.89874697
Michelangelo Antonioni,1,4358161.767769516,4358161.767769516,3020847.5417535873
Rohit Shetty,6,160091276.2225498,26681879.370424967,51920539.862779535
Shawn Levy,11,3323639171.7284904,302149015.6116809,750812098.1203643
Asghar Farhadi,3,49346618.73203815,16448872.910679383,22802979.76285255
Nikkhil Advani,4,75029601.07625073,18757400.269062683,30188871.131731074
Han Jae-rim,1,80517891.64166778,80517891.64166778,55810749.57605321
Keith Thomas,1,15658333.373767748,15658333.373767748,10853529.630294811
Bryan Bertino,2,117495949.32887141,58747974.66443571,64541246.90071184
Brian Gibson,4,127631072.6424677,31907768.160616927,51353571.77885456
